"Name","Version","Disabled","CreateCost","MaxPlayers","Prize1","Prize2","Prize3","Prize10","Prize20","Prize30","Prize40","Prize50","Prize60","Prize70","Prize80","Prize90","Prize100","Prize150","Prize200","Prize250","Prize300","Prize350","Prize400","Prize450","Prize500","OpenChestVariation"
"string","int","boolean","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int","int"
"tier1",0,"TRUE",500,100,30,20,15,8,4,4,4,,,,,,,,,,,,,,,
"tier2",0,"TRUE",1000,150,60,40,30,12,10,8,8,4,4,4,,,,,,,,,,,,
"tier3",0,"TRUE",2000,200,120,80,60,30,20,15,10,8,8,4,4,4,,,,,,,,,,
"tier4",0,"TRUE",5000,250,300,200,150,60,45,35,30,25,20,15,12,10,8,,,,,,,,,
"tier5",0,"TRUE",10000,300,600,400,300,140,100,70,55,40,30,20,15,12,10,8,,,,,,,,
"tier6",0,"TRUE",20000,500,1200,800,600,270,200,140,100,75,50,35,25,20,15,12,10,8,,,,,,
"tier7",0,"TRUE",50000,600,3000,2000,1500,700,550,400,270,180,130,90,60,45,30,20,14,10,8,,,,,
"tier8",0,"TRUE",100000,800,6000,4000,3000,1400,1100,800,550,390,270,180,130,90,65,45,30,20,15,10,8,,,
"tier9",0,"TRUE",250000,1000,15000,10000,7500,3600,2800,2100,1600,1100,800,500,360,240,180,120,90,60,40,30,20,14,10,
"tier1_2",1,,100,50,25,15,10,4,,,,,,,,,,,,,,,,,,
"tier2_2",1,,500,100,100,60,40,15,10,,,,,,,,,,,,,,,,,
"tier3_2",1,,2000,200,400,240,160,50,25,15,10,,,,,,,,,,,,,,,
"tier4_2",1,,10000,1000,2000,1200,800,150,80,50,35,30,25,20,18,15,12,10,5,,,,,,,
