"Name","IconSWF","IconExportName","Category"
"String","String","String","String"
"Flame_01","sc/ui.sc","clan_badge_01_01","01_Symbol"
"Flame_02","sc/ui.sc","clan_badge_01_02","01_Symbol"
"Flame_03","sc/ui.sc","clan_badge_01_03","01_Symbol"
"Flame_04","sc/ui.sc","clan_badge_01_04","01_Symbol"
"Sword_01","sc/ui.sc","clan_badge_02_01","01_Symbol"
"Sword_02","sc/ui.sc","clan_badge_02_02","01_Symbol"
"Sword_03","sc/ui.sc","clan_badge_02_03","01_Symbol"
"Sword_04","sc/ui.sc","clan_badge_02_04","01_Symbol"
"Bolt_01","sc/ui.sc","clan_badge_03_01","01_Symbol"
"Bolt_02","sc/ui.sc","clan_badge_03_02","01_Symbol"
"Bolt_03","sc/ui.sc","clan_badge_03_03","01_Symbol"
"Bolt_04","sc/ui.sc","clan_badge_03_04","01_Symbol"
"Crown_01","sc/ui.sc","clan_badge_04_01","01_Symbol"
"Crown_02","sc/ui.sc","clan_badge_04_02","01_Symbol"
"Crown_03","sc/ui.sc","clan_badge_04_03","01_Symbol"
"Crown_04","sc/ui.sc","clan_badge_04_04","01_Symbol"
"Arrow_01","sc/ui.sc","clan_badge_05_01","01_Symbol"
"Arrow_02","sc/ui.sc","clan_badge_05_02","01_Symbol"
"Arrow_03","sc/ui.sc","clan_badge_05_03","01_Symbol"
"Arrow_04","sc/ui.sc","clan_badge_05_04","01_Symbol"
"Diamond_Star_01","sc/ui.sc","clan_badge_06_01","01_Symbol"
"Diamond_Star_02","sc/ui.sc","clan_badge_06_02","01_Symbol"
"Diamond_Star_03","sc/ui.sc","clan_badge_06_03","01_Symbol"
"Diamond_Star_04","sc/ui.sc","clan_badge_06_04","01_Symbol"
"Skull_01","sc/ui.sc","clan_badge_07_01","01_Symbol"
"Skull_02","sc/ui.sc","clan_badge_07_02","01_Symbol"
"Skull_03","sc/ui.sc","clan_badge_07_03","01_Symbol"
"Skull_04","sc/ui.sc","clan_badge_07_04","01_Symbol"
"Skull_05","sc/ui.sc","clan_badge_07_05","01_Symbol"
"Skull_06","sc/ui.sc","clan_badge_07_06","01_Symbol"
"Moon_01","sc/ui.sc","clan_badge_08_01","01_Symbol"
"Moon_02","sc/ui.sc","clan_badge_08_02","01_Symbol"
"Moon_03","sc/ui.sc","clan_badge_08_03","01_Symbol"
"Pine_01","sc/ui.sc","clan_badge_09_01","01_Symbol"
"Pine_02","sc/ui.sc","clan_badge_09_02","01_Symbol"
"Pine_03","sc/ui.sc","clan_badge_09_03","01_Symbol"
"Traditional_Star_01","sc/ui.sc","clan_badge_10_01","01_Symbol"
"Traditional_Star_02","sc/ui.sc","clan_badge_10_02","01_Symbol"
"Traditional_Star_03","sc/ui.sc","clan_badge_10_03","01_Symbol"
"Traditional_Star_04","sc/ui.sc","clan_badge_10_04","01_Symbol"
"Traditional_Star_05","sc/ui.sc","clan_badge_10_05","01_Symbol"
"Traditional_Star_06","sc/ui.sc","clan_badge_10_06","01_Symbol"
"Star_Shine_01","sc/ui.sc","clan_badge_11_01","01_Symbol"
"Star_Shine_02","sc/ui.sc","clan_badge_11_02","01_Symbol"
"Star_Shine_03","sc/ui.sc","clan_badge_11_03","01_Symbol"
"Diamond_01","sc/ui.sc","clan_badge_12_01","01_Symbol"
"Diamond_02","sc/ui.sc","clan_badge_12_02","01_Symbol"
"Diamond_03","sc/ui.sc","clan_badge_12_03","01_Symbol"
"flag_a_01","sc/ui.sc","clan_badge_13_01","02_Flag"
"flag_a_02","sc/ui.sc","clan_badge_13_02","02_Flag"
"flag_a_03","sc/ui.sc","clan_badge_13_03","02_Flag"
"flag_b_01","sc/ui.sc","clan_badge_14_01","02_Flag"
"flag_b_02","sc/ui.sc","clan_badge_14_02","02_Flag"
"flag_b_03","sc/ui.sc","clan_badge_14_03","02_Flag"
"flag_c_03","sc/ui.sc","clan_badge_15_01","02_Flag"
"flag_c_04","sc/ui.sc","clan_badge_15_02","02_Flag"
"flag_c_05","sc/ui.sc","clan_badge_15_03","02_Flag"
"flag_c_06","sc/ui.sc","clan_badge_15_04","02_Flag"
"flag_c_07","sc/ui.sc","clan_badge_15_05","02_Flag"
"flag_c_08","sc/ui.sc","clan_badge_15_06","02_Flag"
"flag_d_01","sc/ui.sc","clan_badge_16_01","02_Flag"
"flag_d_02","sc/ui.sc","clan_badge_16_02","02_Flag"
"flag_d_03","sc/ui.sc","clan_badge_16_03","02_Flag"
"flag_d_04","sc/ui.sc","clan_badge_16_04","02_Flag"
"flag_d_05","sc/ui.sc","clan_badge_16_05","02_Flag"
"flag_d_06","sc/ui.sc","clan_badge_16_06","02_Flag"
"flag_f_01","sc/ui.sc","clan_badge_17_01","02_Flag"
"flag_f_02","sc/ui.sc","clan_badge_17_02","02_Flag"
"flag_g_01","sc/ui.sc","clan_badge_18_01","02_Flag"
"flag_g_02","sc/ui.sc","clan_badge_18_02","02_Flag"
"flag_i_01","sc/ui.sc","clan_badge_19_01","02_Flag"
"flag_i_02","sc/ui.sc","clan_badge_19_02","02_Flag"
"flag_h_01","sc/ui.sc","clan_badge_20_01","02_Flag"
"flag_h_02","sc/ui.sc","clan_badge_20_02","02_Flag"
"flag_h_03","sc/ui.sc","clan_badge_20_03","02_Flag"
"flag_j_01","sc/ui.sc","clan_badge_21_01","02_Flag"
"flag_j_02","sc/ui.sc","clan_badge_21_02","02_Flag"
"flag_j_03","sc/ui.sc","clan_badge_21_03","02_Flag"
"flag_k_01","sc/ui.sc","clan_badge_22_01","02_Flag"
"flag_k_02","sc/ui.sc","clan_badge_22_02","02_Flag"
"flag_k_03","sc/ui.sc","clan_badge_22_03","02_Flag"
"flag_k_04","sc/ui.sc","clan_badge_22_04","02_Flag"
"flag_k_05","sc/ui.sc","clan_badge_22_05","02_Flag"
"flag_k_06","sc/ui.sc","clan_badge_22_06","02_Flag"
"flag_l_01","sc/ui.sc","clan_badge_23_01","02_Flag"
"flag_l_02","sc/ui.sc","clan_badge_23_02","02_Flag"
"flag_l_03","sc/ui.sc","clan_badge_23_03","02_Flag"
"flag_m_01","sc/ui.sc","clan_badge_24_01","02_Flag"
"flag_m_02","sc/ui.sc","clan_badge_24_02","02_Flag"
"flag_m_03","sc/ui.sc","clan_badge_24_03","02_Flag"
"flag_n_01","sc/ui.sc","clan_badge_25_01","02_Flag"
"flag_n_02","sc/ui.sc","clan_badge_25_02","02_Flag"
"flag_n_03","sc/ui.sc","clan_badge_25_03","02_Flag"
"flag_n_04","sc/ui.sc","clan_badge_25_04","02_Flag"
"flag_n_05","sc/ui.sc","clan_badge_25_05","02_Flag"
"flag_n_06","sc/ui.sc","clan_badge_25_06","02_Flag"
"Twin_Peaks_01","sc/ui.sc","clan_badge_27_04","01_Symbol"
"Twin_Peaks_02","sc/ui.sc","clan_badge_27_03","01_Symbol"
"Gem_01","sc/ui.sc","clan_badge_31_01","03_Royale"
"Gem_02","sc/ui.sc","clan_badge_31_02","03_Royale"
"Gem_03","sc/ui.sc","clan_badge_31_03","03_Royale"
"Gem_04","sc/ui.sc","clan_badge_31_04","03_Royale"
"Coin_01","sc/ui.sc","clan_badge_32_01","03_Royale"
"Coin_02","sc/ui.sc","clan_badge_32_02","03_Royale"
"Coin_03","sc/ui.sc","clan_badge_32_03","03_Royale"
"Coin_04","sc/ui.sc","clan_badge_32_04","03_Royale"
"Elixir_01","sc/ui.sc","clan_badge_43_01","03_Royale"
"Elixir_02","sc/ui.sc","clan_badge_43_02","03_Royale"
"Heart_01","sc/ui.sc","clan_badge_30_01","01_Symbol"
"Heart_02","sc/ui.sc","clan_badge_30_02","01_Symbol"
"Heart_04","sc/ui.sc","clan_badge_30_04","01_Symbol"
"Heart_03","sc/ui.sc","clan_badge_30_03","01_Symbol"
"Tower_01","sc/ui.sc","clan_badge_44_01","03_Royale"
"Tower_02","sc/ui.sc","clan_badge_44_02","03_Royale"
"Tower_03","sc/ui.sc","clan_badge_44_03","03_Royale"
"Tower_04","sc/ui.sc","clan_badge_44_04","03_Royale"
"Fan_01","sc/ui.sc","clan_badge_36_01","01_Symbol"
"Fan_02","sc/ui.sc","clan_badge_36_02","01_Symbol"
"Fan_03","sc/ui.sc","clan_badge_36_03","01_Symbol"
"Fan_04","sc/ui.sc","clan_badge_36_04","01_Symbol"
"Fugi_01","sc/ui.sc","clan_badge_26_01","01_Symbol"
"Fugi_02","sc/ui.sc","clan_badge_26_02","01_Symbol"
"Fugi_03","sc/ui.sc","clan_badge_26_04","01_Symbol"
"Fugi_04","sc/ui.sc","clan_badge_26_03","01_Symbol"
"YingYang_01","sc/ui.sc","clan_badge_28_01","01_Symbol"
"YingYang_02","sc/ui.sc","clan_badge_28_02","01_Symbol"
"flag_c_01","sc/ui.sc","clan_badge_28_03","02_Flag"
"flag_c_02","sc/ui.sc","clan_badge_28_04","02_Flag"
"Cherry_Blossom_01","sc/ui.sc","clan_badge_34_01","01_Symbol"
"Cherry_Blossom_02","sc/ui.sc","clan_badge_34_02","01_Symbol"
"Cherry_Blossom_03","sc/ui.sc","clan_badge_34_03","01_Symbol"
"Cherry_Blossom_04","sc/ui.sc","clan_badge_34_04","01_Symbol"
"Cherry_Blossom_06","sc/ui.sc","clan_badge_35_03","01_Symbol"
"Cherry_Blossom_05","sc/ui.sc","clan_badge_35_04","01_Symbol"
"Cherry_Blossom_07","sc/ui.sc","clan_badge_35_01","01_Symbol"
"Cherry_Blossom_08","sc/ui.sc","clan_badge_35_02","01_Symbol"
"Bamboo_01","sc/ui.sc","clan_badge_29_01","01_Symbol"
"Bamboo_02","sc/ui.sc","clan_badge_29_02","01_Symbol"
"Bamboo_03","sc/ui.sc","clan_badge_29_03","01_Symbol"
"Bamboo_04","sc/ui.sc","clan_badge_29_04","01_Symbol"
"Orange_01","sc/ui.sc","clan_badge_37_01","01_Symbol"
"Orange_02","sc/ui.sc","clan_badge_37_04","01_Symbol"
"Lotus_01","sc/ui.sc","clan_badge_40_01","01_Symbol"
"Lotus_02","sc/ui.sc","clan_badge_40_02","01_Symbol"
"A_Char_King_01","sc/ui.sc","clan_badge_54_01","03_Royale"
"A_Char_King_02","sc/ui.sc","clan_badge_54_02","03_Royale"
"A_Char_King_03","sc/ui.sc","clan_badge_54_03","03_Royale"
"A_Char_King_04","sc/ui.sc","clan_badge_54_04","03_Royale"
"A_Char_Barbarian_01","sc/ui.sc","clan_badge_47_01","03_Royale"
"A_Char_Barbarian_02","sc/ui.sc","clan_badge_47_02","03_Royale"
"A_Char_Prince_01","sc/ui.sc","clan_badge_48_01","03_Royale"
"A_Char_Prince_02","sc/ui.sc","clan_badge_48_02","03_Royale"
"A_Char_Knight_01","sc/ui.sc","clan_badge_55_01","03_Royale"
"A_Char_Knight_02","sc/ui.sc","clan_badge_55_02","03_Royale"
"A_Char_Goblin_01","sc/ui.sc","clan_badge_53_01","03_Royale"
"A_Char_Goblin_02","sc/ui.sc","clan_badge_53_02","03_Royale"
"A_Char_DarkPrince_01","sc/ui.sc","clan_badge_49_01","03_Royale"
"A_Char_DarkPrince_02","sc/ui.sc","clan_badge_49_02","03_Royale"
"A_Char_DarkPrince_03","sc/ui.sc","clan_badge_49_03","03_Royale"
"A_Char_DarkPrince_04","sc/ui.sc","clan_badge_49_04","03_Royale"
"A_Char_MiniPekka_01","sc/ui.sc","clan_badge_51_01","03_Royale"
"A_Char_MiniPekka_02","sc/ui.sc","clan_badge_51_02","03_Royale"
"A_Char_Pekka_01","sc/ui.sc","clan_badge_38_03","03_Royale"
"A_Char_Pekka_02","sc/ui.sc","clan_badge_38_04","03_Royale"
"A_Char_Hammer_01","sc/ui.sc","clan_badge_45_01","03_Royale"
"A_Char_Hammer_02","sc/ui.sc","clan_badge_45_02","03_Royale"
"A_Char_Rocket_01","sc/ui.sc","clan_badge_42_01","03_Royale"
"A_Char_Rocket_02","sc/ui.sc","clan_badge_42_02","03_Royale"
"Freeze_01","sc/ui.sc","clan_badge_56_01","01_Symbol"
"Freeze_02","sc/ui.sc","clan_badge_56_02","01_Symbol"
"Clover_01","sc/ui.sc","clan_badge_57_01","01_Symbol"
"Clover_02","sc/ui.sc","clan_badge_57_02","01_Symbol"
"flag_h_04","sc/ui.sc","clan_badge_20_04","02_Flag"
"flag_e_02","sc/ui.sc","clan_badge_20_05","02_Flag"
"flag_i_03","sc/ui.sc","clan_badge_20_06","02_Flag"
"flag_e_01","sc/ui.sc","clan_badge_20_07","02_Flag"
"A_Char_Barbarian_03","sc/ui.sc","clan_badge_47_03","03_Royale"
"A_Char_Prince_03","sc/ui.sc","clan_badge_48_03","03_Royale"
"A_Char_Bomb_01","sc/ui.sc","clan_badge_58_01","03_Royale"
"A_Char_Bomb_02","sc/ui.sc","clan_badge_58_02","03_Royale"
